SnapshotNumber,Time_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,LookbackTime_Gyr,MainHaloIdx,MainSubhaloIdx,VirialRadius00_ckpc,VirialMass00_1E10Msun,ReferencePotential_(km/s)^2,SFR_H_Msun/yr,SFR_B_Msun/yr,SFR_CD_Msun/yr,SFR_WD_Msun/yr
0,0.0525742,46.7730473,0.0209323,,,13.7679556,0,0,,,,,,,
1,0.0564469,44.5622038,0.021948,,,13.7640829,0,0,,,,,,,
2,0.0606048,42.4536738,0.023013,,,13.759925,0,0,,,,,,,
3,0.0646081,40.6395569,0.0240156,,,13.7559217,0,0,,,,,,,
4,0.0693672,38.7125594,0.025181,,,13.7511626,0,0,,,,,,,
5,0.0744768,36.8747395,0.0264028,,,13.746053,0,0,,,,,,,
6,0.0799628,35.1219704,0.027684,,,13.740567,0,0,,,,,,,
7,0.0852449,33.6139397,0.0288901,,,13.7352849,0,0,,,,,,,
8,0.091524,32.012074,0.0302919,,,13.7290058,0,0,,,,,,,
9,0.0982656,30.4843396,0.0317618,,,13.7222642,0,0,,,,,,,
10,0.1055038,29.0273057,0.033303,,,13.715026,0,0,,,,,,,
11,0.1132751,27.6377005,0.034919,,,13.7072547,0,0,,,,,,,
12,0.1207575,26.4421253,0.0364403,,,13.6997723,0,0,,,,,,,
13,0.1296523,25.1721572,0.0382085,,,13.6908775,0,0,,,,,,,
14,0.1392022,23.9609608,0.0400626,,,13.6813276,0,0,,,,,,,
15,0.1494555,22.8058162,0.0420065,,,13.6710743,0,0,,,,,,,
16,0.1593275,21.8119639,0.0438366,,,13.6612023,0,0,,,,,,,
17,0.171063,20.7562707,0.0459638,,,13.6494668,0,0,,,,,,,
18,0.1836627,19.7494329,0.0481941,,,13.6368671,0,0,,,,,,,
19,0.1971903,18.7891896,0.0505326,,,13.6233395,0,0,,,,,,,
20,0.2102148,17.9630246,0.0527342,,,13.610315,0,0,,,,,,,
21,0.2256976,17.0854528,0.0552931,,,13.5948322,0,0,,,,,,,
22,0.2423204,16.2484933,0.0579761,,,13.5782094,0,0,,,,,,,
23,0.2601672,15.4502666,0.0607893,,,13.5603626,0,0,,,,,,,
24,0.27735,14.763496,0.0634377,,,13.5431798,0,0,,,,,,,
25,0.2977756,14.0339921,0.0665159,,,13.5227542,0,0,,,,,,,
26,0.3197047,13.3382483,0.0697435,,,13.5008251,0,0,,,,,,,
27,0.343248,12.6747021,0.0731277,,,13.4772818,0,0,,,,,,,
28,0.3685238,12.0418635,0.0766762,,,13.452006,0,0,,,,,,,
29,0.3928584,11.497388,0.0800167,,,13.4276714,0,0,,,,,,,
30,0.4217845,10.9190332,0.0838994,48.951,0.3849544,13.3987453,0,0,48.951,0.3849544,20188.238,,,,
31,0.4528384,10.3674436,0.0879705,29.374,0.0832055,13.3676914,0,0,29.374,0.0832055,16147.68,,,,
32,0.4861761,9.8413804,0.0922392,36.131,0.1548721,13.3343537,0,0,36.131,0.1548721,16466.184,,,,
33,0.5182708,9.3887713,0.0962578,43.469,0.2697386,13.302259,0,0,43.469,0.2697386,16143.352,,,,
34,0.5564189,8.9079992,0.1009286,47.535,0.3529016,13.2641109,0,0,47.535,0.3529016,15108.901,,,,
35,0.5973702,8.4494763,0.105826,55.707,0.5680626,13.2231596,0,0,55.707,0.5680626,15273.739,,,,
36,0.6413298,8.0121729,0.110961,68.466,1.0550718,13.1792,0,0,68.466,1.0550718,15378.826,0.050503366720460345,0.04310438799805687,0.018238973271966143,0.018446988463655258
37,0.6885171,7.5951071,0.1163453,74.253,1.3465927,13.1320127,0,0,74.253,1.3465927,14174.583,0.06845556902915255,0.08509779185117831,0.04795752681920284,0.0850540353848623
38,0.7339396,7.2362761,0.1214141,77.919,1.5567775,13.0865902,0,0,77.919,1.5567775,14153.75,0.056065317191791565,0.33975683390596684,0.00980345111708524,0.041079860107780246
39,0.7879218,6.8551173,0.1273055,81.253,1.7663355,13.032608,0,0,81.253,1.7663355,12584.646,0.07081837477495727,0.18566296243250938,0.06983013263329077,0.1645261862749968
40,0.8458613,6.4915977,0.1334829,91.394,2.515592,12.9746685,0,0,91.394,2.515592,12377.722,0.07461060355222586,0.11335902755516016,0.08642438771888149,0.12506208411246716
41,0.908045,6.1449012,0.1399599,95.573,2.879165,12.9124848,0,0,95.573,2.879165,9784.471,0.0838745943085857,0.15198326058874215,0.11213097068633628,0.13717555769199805
42,0.9678925,5.8466137,0.1460576,97.438,3.053349,12.8526373,0,0,97.438,3.053349,7647.237,0.20574530561329474,0.2436728993151405,0.0099025017718781,0.024519149218116935
43,1.0390037,5.5297658,0.1531448,97.685,3.080006,12.7815261,0,0,97.685,3.080006,7363.011,0.2162557130903621,0.2001898485669129,0.004177639603084945,0.01757875415144488
44,1.1153094,5.227581,0.160576,96.406,2.9642029,12.7052204,0,0,96.406,2.9642029,7374.591,0.05440940672580348,0.12747083154652783,0.10733512319469703,0.13751391037283378
45,1.1971819,4.9393807,0.1683677,104.432,3.7734266,12.6233479,0,0,104.432,3.7734266,3713.346,0.09314045906212882,0.0783176431935746,0.0962267176542763,0.14488190415576718
46,1.2850184,4.6645177,0.1765375,101.641,3.4841623,12.5355114,0,0,101.641,3.4841623,5794.062,0.07463867774434706,0.0813088803520855,0.1323895312872292,0.19911905161785806
47,1.3695202,4.4280337,0.1842288,103.578,3.6938595,12.4510096,0,0,103.578,3.6938595,6712.142,0.08193210542711088,0.1069553093199625,0.16349589912613346,0.2140445092960825
48,1.4698785,4.1768349,0.1931682,108.343,4.2359003,12.3506513,0,0,108.343,4.2359003,3579.774,0.04990707277455441,0.06705094123077386,0.16067672470397834,0.17650956557685443
49,1.5775065,3.9372611,0.2025414,112.307,4.7299565,12.2430233,0,0,112.307,4.7299565,5005.781,0.06681285888209768,0.08205283440622889,0.1626480740583263,0.18419412268114935
50,1.692911,3.7087743,0.2123695,130.092,7.3716245,12.1276188,0,0,130.092,7.3716245,-1637.577,0.20812926445514487,0.19654729471552804,0.15546603733895742,0.32173386720269587
51,1.8166298,3.4908614,0.2226744,140.83,9.3831991,12.0039,0,0,140.83,9.3831991,-2311.984,0.34801159114056385,0.3652277394474246,0.29358807731451014,0.5460116841433993
52,1.9492319,3.2830331,0.2334794,163.634,14.7738435,11.8712979,0,0,163.634,14.7738435,-22756.77,0.4885772407489344,0.20395925899040193,0.3490734769420755,0.4948541850940164
53,2.0913186,3.0848226,0.2448087,172.313,17.3239802,11.7292112,0,0,172.313,17.3239802,-8070.692,1.209873622941288,2.4381270002183126,0.14506735161548076,0.49967662727690915
54,2.2435237,2.895785,0.2566877,178.766,19.4395639,11.5770061,0,0,178.766,19.4395639,211.585,0.3327334972445068,1.9202816370261517,0.5895503745136815,1.1932127606263783
55,2.3897091,2.7331426,0.2678708,179.686,19.8409064,11.4308207,0,0,179.686,19.8409064,-2663.355,0.5159541030628395,0.44008918715012424,0.33700789323751873,0.5289934936528041
